# x_path held_b1_THz held_b2_THz held_b3_THz
8.1536191974 9.0911334840 10.0184332348 10.0184332348
8.1891838904 8.7613035208 10.1697652402 10.1697652402
8.2247485834 8.4213826185 10.3202379027 10.3202379027
8.2603132763 8.0727076504 10.4690264591 10.4690264591
8.2958779693 7.7168894129 10.6152895586 10.6152895586
8.3314426623 7.3558582427 10.7581823848 10.7581823848
8.3670073553 6.9919204574 10.8968692502 10.8968692502
8.4025720482 6.6278279957 11.0305355044 11.0305355044
8.4381367412 6.2668630577 11.1583986387 11.1583986387
8.4737014342 5.9129375721 11.2797185028 11.2797185028
8.5092661272 5.5707026026 11.3938065766 11.3938065766
8.5448308201 5.2456532379 11.5000342636 11.5000342636
8.5803955131 4.9441974701 11.5978401850 11.5978401850
8.6159602061 4.6736316568 11.6867364693 11.6867364693
8.6515248990 4.4419350395 11.7663140352 11.7663140352
8.6870895920 4.2572807925 11.8362468740 11.8362468740
8.7226542850 4.1272007155 11.8962953356 11.8962953356
8.7582189780 4.0574755817 11.9463084260 11.9463084260
8.7937836709 4.0510319172 11.9862251206 11.9862251206
8.8293483639 4.1072672856 12.0160746987 12.0160746987
8.8649130569 4.2221207574 12.0359761002 12.0359761002
8.9004777499 4.3888610639 12.0461363087 12.0461363087
8.9360424428 4.5992404719 12.0468477609 12.0468477609
8.9716071358 4.8445954850 12.0384847873 12.0384847873
9.0071718288 5.1166402195 12.0214990893 12.0214990893
9.0427365217 5.4079066213 11.9964142653 11.9964142653
9.0783012147 5.7119089234 11.9638194036 11.9638194036
9.1138659077 6.0231389575 11.9243617735 11.9243617735
9.1494306007 6.3369785980 11.8787386577 11.8787386577
9.1849952936 6.6495839558 11.8276883878 11.8276883878
9.2205599866 6.9577702327 11.7719806650 11.7719806650
9.2561246796 7.2589097984 11.7124062744 11.7124062744
9.2916893726 7.5508471153 11.6497663246 11.6497663246
9.3272540655 7.8318298861 11.5848611801 11.5848611801
9.3628187585 8.1004541206 11.5184792756 11.5184792756
9.3983834515 8.3556204174 11.4513860369 11.4513860369
9.4339481444 8.5964989196 11.3843131537 11.3843131537
9.4695128374 8.8225007668 11.3179484691 11.3179484691
9.5050775304 9.0332542592 11.2529267612 11.2529267612
9.5406422234 9.2285843118 11.1898216903 11.1898216903
9.5762069163 9.4084940791 11.1291391701 11.1291391701
9.6117716093 9.5731478798 11.0713123930 11.0713123930
9.6473363023 9.7228547504 11.0166986949 11.0166986949
9.6829009953 9.8580521204 10.9655783891 10.9655783891
9.7184656882 9.9792892389 10.9181556293 10.9181556293
9.7540303812 10.0872100950 10.8745612873 10.8745612873
9.7895950742 10.1825356856 10.8348577525 10.8348577525
9.8251597672 10.2660455732 10.7990454845 10.7990454845
9.8607244601 10.3385587735 10.7670710788 10.7670710788
9.8962891531 10.4009140993 10.7388365507 10.7388365507
9.9318538461 10.4539501702 10.7142094943 10.7142094943
9.9674185390 10.4984853803 10.6930337483 10.6930337483
10.0029832320 10.5352981829 10.6751401867 10.6751401867
10.0385479250 10.5651081121 10.6603572592 10.6603572592
10.0741126180 10.5885579996 10.6485209207 10.6485209207
10.1096773109 10.6061978655 10.6394836234 10.6394836234
10.1452420039 10.6184709544 10.6331220827 10.6331220827
10.1808066969 10.6257023534 10.6293435741 10.6293435741
10.2163713899 10.6280905694 10.6280905694 10.6280905694
