# x_path held_b1_THz held_b2_THz held_b3_THz
5.3260100982 8.0293375286 11.2679553720 13.1022439404
5.3630341227 7.9084139271 10.8816932848 12.5704998091
5.4000581472 7.7611182624 10.4747350262 12.0239325884
5.4370821716 7.5858347537 10.0477334254 11.4635276626
5.4741061961 7.3813841413 9.6014189339 10.8902617409
5.5111302206 7.1470063043 9.1365912987 10.3050970987
5.5481542451 6.8823407395 8.6541116701 9.7089763669
5.5851782696 6.5874057200 8.1548951811 9.1028179378
5.6222022941 6.2625766557 7.6399040303 8.4875120478
5.6592263185 5.9085639613 7.1101410878 7.8639175890
5.6962503430 5.5263906007 6.5666440391 7.2328596910
5.7332743675 5.1173693866 6.0104800730 6.5951281037
5.7702983920 4.6830800602 5.4427411113 5.9514763982
5.8073224165 4.2253461497 4.8645395699 5.3026219917
5.8443464410 3.7462115953 4.2770046345 4.6492469833
5.8813704655 3.2479171265 3.6812790250 3.9919997785
5.9183944899 2.7328763847 3.0785162160 3.3314974607
5.9554185144 2.2036517925 2.4698780735 2.6683288554
5.9924425389 1.6629301817 1.8565328613 2.0030582185
6.0294665634 1.1134982021 1.2396535663 1.3362294661
6.0664905879 0.5582175417 0.6204164833 0.6683708537
6.1035146124 -0.0000001944 0.0000001561 0.0000001794
6.1337446018 0.4734620265 0.4734620265 0.5604152728
6.1639745912 0.9459093440 0.9459093440 1.1205772277
6.1942045806 1.4163305195 1.4163305196 1.6802318631
6.2244345700 1.8837206654 1.8837206654 2.2391238182
6.2546645594 2.3470846958 2.3470846958 2.7969957087
6.2848945488 2.8054405634 2.8054405634 3.3535874840
6.3151245382 3.2578224709 3.2578224709 3.9086358102
6.3453545276 3.7032840498 3.7032840498 4.4618734845
6.3755845170 4.1409015017 4.1409015017 5.0130288891
6.4058145064 4.5697766952 4.5697766952 5.5618254872
6.4360444958 4.9890402136 4.9890402136 6.1079813690
6.4662744852 5.3978543472 5.3978543472 6.6512088495
6.4965044746 5.7954160261 5.7954160261 7.1912141246
6.5267344640 6.1809596873 6.1809596873 7.7276969880
6.5569644534 6.5537600727 6.5537600727 8.2603506120
6.5871944428 6.9131349528 6.9131349528 8.7888613958
6.6174244322 7.2584477736 7.2584477736 9.3129088816
6.6476544216 7.5891102206 7.5891102206 9.8321657417
6.6778844110 7.9045846996 7.9045846996 10.3462978370
6.7081144004 8.2043867282 8.2043867282 10.8549643467
6.7383443898 8.4880872378 8.4880872378 11.3578179697
6.7685743792 8.7553147814 8.7553147814 11.8545051972
6.7988043687 9.0057576450 9.0057576450 12.3446666541
6.8290343581 9.2391658607 9.2391658607 12.8279375092
6.8592643475 9.4553531173 9.4553531173 13.3039479510
6.8894943369 9.6541985650 9.6541985650 13.7723237263
6.9197243263 9.8356485113 9.8356485113 14.2326867403
6.9499543157 9.9997180002 9.9997180002 14.6846557120
6.9801843051 10.1464922704 10.1464922704 15.1278468844
7.0104142945 10.2761280813 10.2761280813 15.5618747834
7.0406442839 10.3888548965 10.3888548965 15.9863530220
7.0708742733 10.4849759087 10.4849759087 16.4008951450
7.1011042627 10.5648688860 10.5648688860 16.8051155096
7.1313342521 10.6289868150 10.6289868150 17.1986301982
7.1615642415 10.6778583075 10.6778583075 17.5810579561
7.1917942309 10.7120877305 10.7120877305 17.9520211515
7.2220242203 10.7323550098 10.7323550098 18.3111467514
7.2522542097 10.7394150435 10.7394150435 18.6580673086
7.2824841991 10.7340966530 10.7340966530 18.9924219546
7.3127141885 10.7173009789 10.7173009789 19.3138573936
7.3429441779 10.6899992187 10.6899992187 19.6220288927
7.3731741673 10.6532295844 10.6532295844 19.9166012620
7.4034041567 10.6080933417 10.6080933417 20.1972498222
7.4336341461 10.5557497816 10.5557497816 20.4636613525
7.4638641355 10.4974099634 10.4974099634 20.7155350159
7.4940941249 10.4343290668 10.4343290668 20.9525832569
