b000, b001, b002, b003, b004, b005, b006, b007, b008, b009, b010, b011, b012, b013, b014, b015, 
-30.32849980780578, -1.1913769903087899, -0.8182827405807661, 1.284013196704628, 1.6401685070135361, 1.9608390717092723, 1.3760999093877295, -6.60050337120989, 1.2442971466583026, 20.06693169158297, 2.3070157810367258, 2.6157730796939327, 0.42461181914360424, -4.509811620355281, 2.391257962781883, 0.6116688144152482, 
-29.994059472573284, -0.45838875595009565, -1.2656118651663388, 1.2322348865262547, 1.6727916147794897, 1.5441379888009872, 1.7967451873941171, -6.477301100088024, -0.5011511342040309, 20.61903051877248, 1.826962571146876, 3.631261322592299, -0.397639664465025, -3.461982987487818, 2.8667907616933266, 0.7645894034868082, 
-29.645163088664088, 0.1290029881125179, -1.4564860080219215, 1.2017188462754738, 1.5768696417353596, 1.1180442107371291, 2.124907476770428, -6.249289992924603, -1.6860067766411415, 20.95375371056807, 1.227217856489989, 4.34988283440064, -1.0270597801079666, -2.601864466976179, 3.203878810754975, 0.855032684703272, 
-29.21321948943115, 0.6725086433260058, -1.6188785062493085, 1.0110984735088546, 1.5669778475538934, 0.7727770428702095, 2.4472896807172617, -6.168354152876579, -3.0094861468463483, 21.547222291842726, 0.589311886740327, 5.035713078851684, -1.5524576586852956, -1.5378519695559372, 3.6736049266533026, 0.7635727308967719, 
-29.016912038837745, 1.0353759976619197, -1.5661839150652976, 1.0544598319146883, 1.325322028286917, 0.4899137652028769, 2.6373138312401054, -5.99797487444943, -3.335217291174073, 21.767718127451065, -0.04439873943965382, 5.45077281681079, -1.9008967442930578, -1.1244910711178149, 3.953780161334216, 0.8562399828806342, 
-28.976625578617213, 1.200810399507205, -1.5692058277382848, 0.9971134074865252, 1.222172809967682, 0.48473872634101445, 2.7675589723844625, -6.20234928685123, -3.7312554039865007, 22.28723222698992, -0.5395814139554279, 5.77909930693306, -2.1191821971417597, -0.6504558090441388, 4.363947204773011, 0.7985374767869314, 
-29.21135153368977, 1.199542130540649, -1.4896080762892898, 1.119861404384547, 0.9997607318644066, 0.6038153519523314, 2.8058840455529985, -6.479454373441997, -3.4696462834985056, 22.606930386131545, -0.8991056640975518, 5.957138183359825, -2.2421335034475423, -0.6848313033667154, 4.690127233238256, 0.901062816407072, 
-29.77041105828032, 0.8915839100217223, -1.3912924798349955, 1.280900851707794, 0.8424013633029553, 1.002733291182773, 2.750565838458731, -7.087057394304403, -2.917799437291273, 22.965306025017743, -1.032990482030079, 5.8751647938768015, -2.2192693805397212, -0.9021402321854759, 4.9492088924529805, 0.9707176997284621, 
-30.287649424407682, 0.7372069623214528, -1.2580047906257927, 1.4601535447898057, 0.5681199801385076, 1.166685056413707, 2.7364437426273662, -7.434704271745724, -2.1182503050473143, 23.20612921482613, -1.1963235354609654, 5.925204711837467, -2.2641981102389224, -1.3239988330152255, 5.18261953830404, 1.2130668240362428, 
-31.01119142355616, 0.2877384212788917, -1.023894424407757, 1.541807526402396, 0.3834891860127895, 1.4762444498612768, 2.668964068203738, -8.004636099507717, -1.1479816904394866, 23.476792171360074, -1.1746689983154828, 5.612196300431302, -2.1582502065347207, -1.67479436160036, 5.273602157579638, 1.286950061325471, 
-31.39764726150025, 0.12946192204510507, -0.7516260996344796, 1.4928411029051059, 0.17592660193318085, 1.470880843714673, 2.650450059354708, -8.220584408447504, -0.31865235904194755, 23.69417734683635, -1.2903244351359973, 5.504085751211094, -2.127489259868473, -1.8840370388565846, 5.3907245383859586, 1.346593663379746, 
-31.79062627017522, -0.23909830843226035, -0.3007676548327236, 1.3297107860110169, 0.034330008580021394, 1.5311504853251676, 2.563388857819137, -8.453883882439365, 0.6768685218140728, 23.729708415072167, -1.2866805713704847, 4.978916042716356, -1.9366494979297013, -1.9841304730780533, 5.253332559543051, 1.1856030348274196, 
-31.732742666638856, -0.17857832601974696, 0.12887772318470386, 1.1296179244976954, -0.1262328318214385, 1.354223672287223, 2.501687301170983, -8.3587910055074, 1.2678365964754668, 23.795746085220944, -1.5087667774593103, 4.837413429027867, -1.8699895317245911, -1.906285409618797, 5.257502421889675, 1.0053216299695509, 
-31.748138806840238, -0.45226920746671745, 0.858040040159334, 0.8470421231346187, -0.19309389054889076, 1.3417551708870328, 2.2849471261757044, -8.236480630739639, 2.212602984057933, 23.4210914299732, -1.610656653895364, 4.070455733384206, -1.4704292436657893, -1.8119321426218722, 4.796431397751925, 0.5419471372909409, 
-31.386105971952308, -0.3426721280199236, 1.524787958804519, 0.6194692253944839, -0.22353648633325743, 1.2248717826237563, 2.0321379098037977, -7.93450767782014, 2.6954757876109627, 23.10294874623985, -1.8972420014339813, 3.713880469458748, -1.1503775994864993, -1.5894526607002863, 4.5093481251103436, 0.06845136066213695, 
-30.993562607681785, -0.4418618716517353, 2.4515903373133177, 0.2848419886213615, -0.18079339757267704, 1.2270306051160118, 1.635892178778535, -7.525980765368904, 3.540297568045494, 22.314439045349054, -2.026147885721004, 2.8401963368067844, -0.5471506710282623, -1.441254585783518, 3.770587705409742, -0.6285496795645732, 
-30.44750391885084, -0.2724136048733204, 3.2258553959300222, 0.08123510324846141, -0.06927061518238611, 1.1936555845763634, 1.2241955554022097, -7.139243167000123, 3.8934434992365134, 21.744296840807525, -2.273097218692499, 2.4014209439822625, -0.051144045183768555, -1.208366034981038, 3.2723856428096836, -1.2179740750805623, 
-29.9125015911229, -0.19388090553131854, 3.966044829441874, -0.27098551340675947, 0.06152236873378831, 1.2191741801655962, 0.8501759613025963, -6.685627334598936, 4.390522127072395, 21.054323538676147, -2.259811142645884, 1.712430011703731, 0.4706679346899249, -1.120505120047056, 2.539423896532501, -1.7513613178768561, 
-29.423386520437198, 0.05030973646815502, 4.447398774491389, -0.4957458593313877, 0.2569334416044359, 1.2321030526669166, 0.5420840126321457, -6.397599303133306, 4.39822321536839, 20.836772824075844, -2.2408335087845104, 1.4533283620479165, 0.7863032962043993, -1.0000597523407389, 2.1242194259186102, -2.072512384740437, 
-29.074551614003436, 0.26740078822404983, 4.568791192124827, -0.8259677294780908, 0.4207093687159527, 1.2355089594325577, 0.48179648483724774, -6.142007833924711, 4.21311099826178, 20.99362784774214, -1.9603894758037783, 1.2978858956529564, 0.8532713745909114, -1.0218259143348494, 1.8162217357160206, -2.070350677911479, 
-28.83481022011176, 0.5321057689468609, 4.583167531269682, -0.9715190165426356, 0.6984902118027984, 1.2607696500298604, 0.3772925036040187, -6.077399075444025, 3.682093542057755, 21.517134551454912, -1.7655900062417027, 1.4066221914916934, 0.8209751698428286, -0.9722400342554395, 1.7470829820054576, -1.9804714424018557, 
-28.656872708814934, 0.7718849747748847, 4.250912952159367, -1.2968557517079609, 0.904543694397634, 1.266670874722806, 0.5628748755918862, -5.9481936217044025, 3.008916503887288, 22.389296357063678, -1.3556960805562825, 1.5661147032778568, 0.538490323950635, -1.0797220503368525, 1.788025872595159, -1.5868592807320876, 
