# x_path held_b1_THz held_b2_THz held_b3_THz
4.5838025016 1.7315332338 5.9749136561 13.6531667755
4.6128409609 1.7433647256 5.9453011486 13.5413570589
4.6418794201 1.7546233141 5.9125643169 13.4209981273
4.6709178794 1.7650873127 5.8765380524 13.2920490348
4.6999563387 1.7745413385 5.8370563670 13.1544712356
4.7289947979 1.7827778584 5.7939539501 13.0082294580
4.7580332572 1.7895984659 5.7470676899 12.8532925873
4.7870717165 1.7948149152 5.6962381465 12.6896345478
4.8161101757 1.7982499438 5.6413109662 12.5172351800
4.8451486350 1.7997379131 5.5821382280 12.3360811042
4.8741870943 1.7991252921 5.5185797142 12.1461665652
4.9032255535 1.7962710112 5.4505040996 11.9474942520
4.9322640128 1.7910467051 5.3777900540 11.7400760867
4.9613024720 1.7833368639 5.3003272548 11.5239339773
4.9903409313 1.7730389085 5.2180173079 11.2991005294
5.0193793906 1.7600632020 5.1307745738 11.0656197123
5.0484178498 1.7443330085 5.0385269006 10.8235474751
5.0774563091 1.7257844070 4.9412162623 10.5729523100
5.1064947684 1.7043661681 4.8387993044 10.3139157585
5.1355332276 1.6800395974 4.7312477980 10.0465328575
5.1645716869 1.6527783508 4.6185490036 9.7709125248
5.1936101462 1.6225682254 4.5007059476 9.4871778796
5.2226486054 1.5894069263 4.3777376139 9.1954664981
5.2516870647 1.5533038131 4.2496790526 8.8959306024
5.2807255240 1.5142796271 4.1165814094 8.5887371820
5.3097639832 1.4723661997 3.9785118783 8.2740680483
5.3388024425 1.4276061423 3.8355535806 7.9521198204
5.3678409017 1.3800525206 3.6878053741 7.6231038450
5.3968793610 1.3297685106 3.5353815936 7.2872460483
5.4259178203 1.2768270397 3.3784117290 6.9447867237
5.4549562795 1.2213104110 3.2170400410 6.5959802545
5.4839947388 1.1633099127 3.0514251193 6.2410947743
5.5130331981 1.1029254124 2.8817393869 5.8804117665
5.5420716573 1.0402649365 2.7081685514 5.5142256055
5.5711101166 0.9754442360 2.5309110091 5.1428430411
5.6001485759 0.9085863380 2.3501772028 4.7665826299
5.6291870351 0.8398210852 2.1661889379 4.3857741146
5.6582254944 0.7692846618 1.9791786589 4.0007577568
5.6872639537 0.6971191089 1.7893886900 3.6118836228
5.7163024129 0.6234718282 1.5970704420 3.2195108299
5.7453408722 0.5484950762 1.4024835898 2.8240067526
5.7743793314 0.4723454485 1.2058952223 2.4257461947
5.8034177907 0.3951833564 1.0075789682 2.0251105301
5.8324562500 0.3171724957 0.8078141010 1.6224868158
5.8614947092 0.2384793092 0.6068846256 1.2182668817
5.8905331685 0.1592724441 0.4050783505 0.8128463997
5.9195716278 0.0797222042 0.2026859469 0.4066239376
5.9486100870 -0.0000000517 0.0000000900 0.0000001389
5.9841747911 0.1640823398 0.1640823398 0.5150580865
6.0197394951 0.3283843264 0.3283843264 1.0290577129
6.0553041992 0.4931184923 0.4931184923 1.5409474792
6.0908689033 0.6584833931 0.6584833931 2.0496900199
6.1264336073 0.8246572368 0.8246572368 2.5542688066
6.1619983114 0.9917922181 0.9917922181 3.0536946945
6.1975630154 1.1600097426 1.1600097426 3.5470121307
6.2331277195 1.3293966807 1.3293966807 4.0333049445
6.2686924235 1.5000027509 1.5000027509 4.5117016424
6.3042571276 1.6718390852 1.6718390852 4.9813801358
6.3398218317 1.8448779894 1.8448779894 5.4415718343
6.3753865357 2.0190538703 2.0190538703 5.8915650413
6.4109512398 2.1942652694 2.1942652694 6.3307075986
6.4465159438 2.3703779175 2.3703779175 6.7584087330
6.4820806479 2.5472286992 2.5472286992 7.1741400663
6.5176453519 2.7246304061 2.7246304061 7.5774357628
6.5532100560 2.9023771440 2.9023771440 7.9678917976
6.5887747601 3.0802502529 3.0802502529 8.3451643440
6.6243394641 3.2580245978 3.2580245978 8.7089672895
6.6599041682 3.4354750842 3.4354750842 9.0590689087
6.6954688722 3.6123832536 3.6123832536 9.3952877330
6.7310335763 3.7885438152 3.7885438152 9.7174876767
6.7665982803 3.9637709701 3.9637709701 10.0255724930
6.8021629844 4.1379043859 4.1379043859 10.3194796529
6.8377276885 4.3108146810 4.3108146810 10.5991737517
6.8732923925 4.4824082789 4.4824082789 10.8646395658
6.9088570966 4.6526314965 4.6526314965 11.1158748939
6.9444218006 4.8214737336 4.8214737336 11.3528833254
6.9799865047 4.9889696394 4.9889696394 11.5756670896
7.0155512087 5.1552001387 5.1552001387 11.7842201396
7.0511159128 5.3202922202 5.3202922202 11.9785216280
7.0866806169 5.4844174024 5.4844174024 12.1585299243
7.1222453209 5.6477888256 5.6477888256 12.3241773195
7.1578100250 5.8106569440 5.8106569440 12.4753655482
7.1933747290 5.9733038350 5.9733038350 12.6119622417
7.2289394331 6.1360361850 6.1360361850 12.7337984101
7.2645041371 6.2991770575 6.2991770575 12.8406670242
7.3000688412 6.4630566045 6.4630566045 12.9323227463
7.3356335453 6.6280019276 6.6280019276 13.0084828335
7.3711982493 6.7943263430 6.7943263430 13.0688292098
7.4067629534 6.9623183454 6.9623183454 13.1130116798
7.4423276574 7.1322305913 7.1322305913 13.1406522328
7.4778923615 7.3042692371 7.3042692371 13.1513503648
7.5134570655 7.4785839685 7.4785839685 13.1446893277
7.5490217696 7.6552590366 7.6552590366 13.1202432020
7.5845864737 7.8343055855 7.8343055855 13.0775846757
7.6201511777 8.0156555064 8.0156555064 13.0162934083
7.6557158818 8.1991569968 8.1991569968 12.9359648554
7.6912805858 8.3845719397 8.3845719397 12.8362194292
7.7268452899 8.5715751486 8.5715751486 12.7167118796
7.7624099939 8.7597554636 8.7597554636 12.5771407874
7.7979746980 8.9486186257 8.9486186257 12.4172580744
7.8335394021 9.1375918061 9.1375918061 12.2368784574
7.8691041061 9.3260296334 9.3260296334 12.0358887886
7.9046688102 9.5132215331 9.5132215331 11.8142572594
7.9402335142 9.6984001820 9.6984001820 11.5720424717
7.9757982183 9.8807508728 9.8807508728 11.3094024276
8.0113629223 10.0594215918 10.0594215918 11.0266035367
8.0469276264 10.2335336209 10.2335336209 10.7240298095
8.0824923305 10.4021924900 10.4021924900 10.4021924900
8.1180570345 10.0617404996 10.5644991264 10.5644991264
8.1536217386 9.7034722194 10.7195610631 10.7195610631
8.1891864426 9.3283493577 10.8665035901 10.8665035901
8.2247511467 8.9375139557 11.0044807459 11.0044807459
8.2603158507 8.5323100166 11.1326860682 11.1326860682
8.2958805548 8.1143118669 11.2503630304 11.2503630304
8.3314452589 7.6853622512 11.3568151051 11.3568151051
8.3670099629 7.2476244424 11.4514154042 11.4514154042
8.4025746670 6.8036544687 11.5336158517 11.5336158517
8.4381393710 6.3565020561 11.6029558467 11.6029558467
8.4737040751 5.9098520883 11.6590703806 11.6590703806
8.5092687791 5.4682218486 11.7016975665 11.7016975665
8.5448334832 5.0372311404 11.7306855388 11.7306855388
8.5803981872 4.6239570639 11.7459986730 11.7459986730
8.6159628913 4.2373590054 11.7477230690 11.7477230690
8.6515275954 3.8886840222 11.7360712250 11.7360712250
8.6870922994 3.5915977696 11.7113858181 11.7113858181
8.7226570035 3.3615297230 11.6741424833 11.6741424833
8.7582217075 3.2135748653 11.6249514622 11.6249514622
8.7937864116 3.1588125425 11.5645579641 11.5645579641
8.8293511156 3.2004284333 11.4938410477 11.4938410477
8.8649158197 3.3322280273 11.4138108027 11.4138108027
8.9004805238 3.5407833067 11.3256035716 11.3256035716
8.9360452278 3.8095572777 11.2304749206 11.2304749206
8.9716099319 4.1224414506 11.1297900466 11.1297900466
9.0071746359 4.4655867112 11.0250112923 11.0250112923
9.0427393400 4.8278434609 10.9176824552 10.9176824552
9.0783040440 5.2005035535 10.8094096223 10.8094096223
9.1138687481 5.5768308240 10.7018383442 10.7018383442
9.1494334522 5.9516067910 10.5966271123 10.5966271123
9.1849981562 6.3207633647 10.4954172963 10.4954172963
9.2205628603 6.6811076730 10.3997999698 10.3997999698
9.2561275643 7.0301228351 10.3112803632 10.3112803632
9.2916922684 7.3658256104 10.2312410300 10.2312410300
9.3272569724 7.6866647943 10.1609051519 10.1609051519
9.3628216765 7.9914481786 10.1013016877 10.1013016877
9.3983863806 8.2792893009 10.0532342480 10.0532342480
9.4339510846 8.5495677864 10.0172555874 10.0172555874
9.4695157887 8.8018989334 9.9936494251 9.9936494251
9.5050804927 9.0361094764 9.9824209258 9.9824209258
9.5406451968 9.2522173585 9.9832966241 9.9832966241
9.5762099008 9.4504139568 9.9957339225 9.9957339225
9.6117746049 9.6310476426 10.0189396180 10.0189396180
9.6473393090 9.7946078630 10.0518963107 10.0518963107
9.6829040130 9.9417091594 10.0933950871 10.0933950871
9.7184687171 10.0730747087 10.1420726056 10.1420726056
