iteration,time_ps,negative_q_branch_count,negative_qpoint_count,branch_1_count,branch_2_count,branch_3_count,path_integral_negative_indicator,path_integrated_negative_fraction,path_integral_absolute_imaginary_frequency_THz
124,0.1239999980,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
125,0.1250000000,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
126,0.1260000020,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
127,0.1270000041,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
128,0.1280000061,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
129,0.1289999932,4,4,4,0,0,0.1445254619,0.0046415296,0.1120684578
130,0.1299999952,9,9,9,0,0,0.3251822893,0.0104434417,0.4074575340
131,0.1309999973,11,11,11,0,0,0.3974450203,0.0127642065,0.5591653661
132,0.1319999993,11,11,11,0,0,0.3974450203,0.0127642065,0.6135006248
133,0.1330000013,10,10,10,0,0,0.3613136548,0.0116038241,0.5553686682
134,0.1340000033,8,8,8,0,0,0.2890509238,0.0092830593,0.3716645939
135,0.1350000054,6,6,6,0,0,0.2167881929,0.0069622945,0.1919151195
136,0.1360000074,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
137,0.1369999945,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
138,0.1379999965,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
139,0.1389999986,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
140,0.1400000006,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
141,0.1410000026,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
142,0.1420000046,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
143,0.1430000067,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
144,0.1439999938,0,0,0,0,0,0.0000000000,0.0000000000,0.0000000000
145,0.1449999958,3,3,3,0,0,0.1083940964,0.0034811472,0.0328690060
146,0.1459999979,6,6,6,0,0,0.2167881929,0.0069622945,0.2243853364
147,0.1469999999,9,9,9,0,0,0.3251822893,0.0104434417,0.4293360093
148,0.1480000019,10,10,10,0,0,0.3613136548,0.0116038241,0.5518465444
149,0.1490000039,12,12,12,0,0,0.4335763858,0.0139245889,0.7108659898
