frame_index,iteration,time_ps,temperature_K,pressure_GPa,mag_total_Bohr,abs_mag_total_Bohr,b000,b001,b002,b003,b004,b005,b006,b007,b008,b009,b010,b011,b012
10,11,0.010999999940395355,3780.849853515625,150.57901000976562,nan,nan,-0.521298622831289,-2.4684327818065723,-0.7904131260881229,-0.6034309345605978,-1.141186416782049,9.229065068504166,0.17099763760633005,1.5479490328800023,0.03418596567673617,-0.32510339222070817,-1.1752647057974646,1.7173512621187,32.06784753617275
11,12,0.012000000104308128,3590.5009765625,152.07701110839844,nan,nan,-0.6136539791760914,-3.139991030926751,-0.6125798040128649,-0.47724142657193225,-1.1162132946898402,9.233809769245049,-0.00828905976979344,1.4533826139608756,0.09273030344431046,-0.4576949179732634,-1.0761506809969366,1.6144847525469033,31.953643981937642
12,13,0.013000000268220901,3405.31103515625,152.99200439453125,nan,nan,-0.5253393585573992,-3.781775767821256,-0.46244500084036766,-0.4763743036175793,-1.151763571197909,9.297009114541735,-0.13545906814498448,1.512537398004323,0.04520274525452393,-0.34408067798402464,-1.0218149144253095,1.5103085020008222,31.24345643149745
13,14,0.014000000432133675,3228.471923828125,156.20799255371094,nan,nan,-0.5735427889164321,-4.355313527526805,-0.35742105168875055,-0.3473874595683155,-1.139698118817751,9.321597085131538,-0.2422622872802284,1.413470963695928,0.09377814438394087,-0.46472850728014464,-0.9545018755236007,1.3845671453529222,31.083035008243268
14,15,0.014999999664723873,3064.37158203125,157.38900756835938,nan,nan,-0.4718355169671824,-4.88878478628442,-0.24734105401504738,-0.27231618376860633,-1.144027277045842,9.317597712529176,-0.31687637880603686,1.4350463669176359,0.06121559568338668,-0.390898725236301,-0.9565760535935239,1.2863167664413744,30.38212585580512
15,16,0.01600000075995922,2919.599853515625,158.97500610351562,nan,nan,-0.4728966531202009,-5.353437083755906,-0.15605747616368162,-0.12605545843977775,-1.1336845116567376,9.324232779519834,-0.3863385399103812,1.3523608470302886,0.10765656734255787,-0.4551789550502402,-0.9583575056239748,1.180551737607705,30.136822691592535
16,17,0.017000000923871994,2796.59033203125,159.56900024414062,nan,nan,-0.3428648891409046,-5.730017691996527,-0.061312847205877374,-0.022058163456061396,-1.1254437931148888,9.233004415401606,-0.4147905072955942,1.3696520299538353,0.07325750314513042,-0.3671978067724234,-1.0084142840875525,1.0931838435994423,29.241980661628922
17,18,0.017999999225139618,2698.251953125,159.27700805664062,nan,nan,-0.3347979508838937,-6.1011590338127295,0.015236693182396089,0.1554264608129759,-1.1140893597405825,9.222392535131766,-0.4455253291959042,1.272276807665728,0.1187363967156196,-0.44261334445816947,-1.0476346656153985,1.002156412551491,29.072966032539767
18,19,0.01899999938905239,2628.2421875,159.7360076904297,nan,nan,-0.1764003308778318,-6.312350276087869,0.10085041430775527,0.2739170570632381,-1.077303278499155,9.047121797579546,-0.433089096790842,1.3070367179053093,0.0728590680989779,-0.3714410168847583,-1.1152235303771036,0.9407309923652937,27.993134522745308
19,20,0.019999999552965164,2587.873779296875,160.6160125732422,nan,nan,-0.10736743929742892,-6.546502487991869,0.17493986766166106,0.44601400093895327,-1.052297406119721,8.968154452006004,-0.4220547211812782,1.2548262663232543,0.09153623057224798,-0.4235699752191638,-1.1783325404229186,0.8796624112516274,27.604515956223924
