b000, b001, b002, b003, b004, b005, b006, b007, b008, b009, b010, b011, b012, b013, b014, b015, b016, b017, b018, b019, b020, b021, 
-3.2556096390640956, 2.2628144448325993, 1.4828572014025547, -0.648410172916395, -6.439308561809675, 27.728782323972446, -20.381816131453114, 9.347173729233136, -5.90330936598028, 1.4933914419765653, 8.258792248888915, 3.450900291700059, -5.937093177920466, 0.8008773982500967, -17.233560392030856, 14.132666406350669, -4.522946463721231, 3.4068852184915728, -14.914235457957007, -0.7158748311277233, -0.751892538488931, -5.532114764916875, 
-2.955803311887734, 2.5293366694136004, 1.1943864983506345, -0.2523347769842698, -6.3003501749540645, 27.79537501865858, -20.481029340935827, 9.418005493427376, -6.386239358907974, 1.3415681267431188, 8.531108564687502, 3.397482803629408, -5.668015400575836, 0.5463426044613585, -16.55050727767663, 13.92705736221626, -5.165434422018875, 2.8955268249904362, -14.791063763575579, -0.36766240361057473, -0.7295438087957398, -5.448358052303142, 
-2.7345390947027375, 2.9340270788564093, 0.9784030961806116, 0.015382285064417973, -6.212415462927701, 27.789100778692394, -20.49892038620241, 9.422644257887047, -6.687930267503927, 1.2955102285186595, 8.712566851692738, 3.3698463715280544, -5.580230470948112, 0.39194048770476597, -15.734135202600108, 13.77834449315365, -5.783655301755024, 2.331761663245537, -14.848244951623649, 0.02679083009136396, -0.6184829348788666, -5.323736872558761, 
-2.5378527545663654, 3.1201545102329913, 0.5626984119210093, 0.23677352649113861, -6.084177211557536, 27.635166260556947, -20.6341823094171, 9.467168065830862, -7.116966015032267, 1.3285572631411762, 9.109702957938005, 3.3215115808328184, -5.283365209011782, 0.3379083392276242, -14.79917841997127, 13.490242193696202, -6.455085263891278, 1.7836955296399657, -14.625844915726612, 0.33591304108094877, -0.3950692500098613, -5.388285667006716, 
-2.3764924280357476, 3.506533185497332, 0.3824296374332383, 0.2607212368080701, -6.108393114445732, 27.478558644269494, -20.644558565527767, 9.446895723872894, -7.331154269706092, 1.3589424790656774, 9.318932559523965, 3.3030507948998302, -5.290901903853286, 0.3476066576523718, -13.781544596048354, 13.481858937028482, -7.030772188393297, 1.2913507769025476, -14.849919323650179, 0.7086810162128631, -0.16932401130961156, -5.351699165932554, 
-2.2836262824887914, 3.594725633010312, -0.002553925957545248, 0.3465822427317054, -6.033456959841669, 27.191448819087938, -20.7363145623738, 9.405206650727292, -7.630259286355321, 1.4633968920578462, 9.726830152394381, 3.192386778422202, -5.110189707795919, 0.45704346419711395, -12.805648292526925, 13.270056950512487, -7.7555615485557325, 0.8171843198694665, -14.814711174896901, 0.8845462712905988, 0.22380812477130943, -5.514025032618678, 
-2.256115961483731, 3.6303053726054877, -0.32614282353097235, 0.43026263993584635, -6.003218475796644, 26.90097086883053, -20.80393860993021, 9.335373026827249, -7.8432029522410645, 1.5511210353108094, 10.104334721494425, 3.062522675987786, -5.018220563213283, 0.61756879773854, -11.953282562800366, 13.154189820562538, -8.4898135370371, 0.38728955690898653, -14.928535541142232, 0.9681423680668074, 0.6666532324029215, -5.723600234816678, 
-2.4143639027285126, 3.392686595089077, -0.827873772361731, 0.7158132011567364, -5.862351645743894, 26.60440096495751, -20.88564429162883, 9.15768725005005, -7.969364782796421, 1.7143219446507239, 10.616580980916536, 2.820982593770278, -4.843414046942141, 0.8311229160667324, -11.34281899799357, 12.846877230180072, -9.404354467337773, -0.08661964365380463, -14.93237536008355, 0.7882060128157884, 1.3057759331221876, -6.12634163065669, 
-2.351704303191261, 3.3996022958874303, -0.8485218094407688, 0.7309681452296831, -6.043301462333098, 26.2952837212446, -20.946923491924874, 9.13637177677467, -8.036379064466335, 1.6293750366602266, 10.865222132040527, 2.7385678644103346, -4.936262087211657, 1.0147547530574128, -10.730510724211967, 13.152379152592852, -9.906180264145158, -0.34325467571343865, -15.599322150574636, 0.807476319151368, 1.5655600464928363, -6.310755786204406, 
-2.549705020380526, 3.033608678490869, -1.1604198317021597, 1.1666917163244477, -6.0216342336513495, 26.049179325498987, -20.99605446224399, 8.908962522188656, -7.971655614882371, 1.7061598736015864, 11.298969351968264, 2.46385057866659, -4.863342792537053, 1.2293256515005673, -10.542809906722221, 13.078441151977954, -10.619859101102726, -0.7623134990205613, -15.962227973899926, 0.4546014230736822, 2.0255231649012964, -6.726918506277658, 
