# x_path held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz
3.0764623880 8.0339680167 8.3783280464 8.9092995932 13.5677780711 14.0064482558 15.7751510574
3.0961513079 7.8948864519 8.2463478427 8.7857896067 13.4182926750 13.8466999058 15.8763955601
3.1158402277 7.7551672890 8.1129293719 8.6605403141 13.2635962602 13.6822199555 15.9766468599
3.1355291475 7.6148301246 7.9781112462 8.5335784694 13.1037379664 13.5130412431 16.0758567601
3.1552180673 7.4738942828 7.8419299442 8.4049330976 12.9387697542 13.3392002999 16.1739777221
3.1749069872 7.3323788069 7.7044201643 8.2746352225 12.7687463585 13.1607372920 16.2709628814
3.1945959070 7.1903024518 7.5656151270 8.1427176456 12.5937252420 12.9776959682 16.3667660627
3.2142848268 7.0476836770 7.4255468328 8.0092147708 12.4137665500 12.7901236127 16.4613417949
3.2339737467 6.9045406405 7.2842462833 7.8741624655 12.2289330657 12.5980710037 16.5546453258
3.2536626665 6.7608911924 7.1417436720 7.7375979566 12.0392901661 12.4015923792 16.6466326355
3.2733515863 6.6167528699 6.9980685484 7.5995597537 11.8449057783 12.2007454099 16.7372604507
3.2930405062 6.4721428928 6.8532499616 7.4600875976 11.6458503366 11.9955911811 16.8264862575
3.3127294260 6.3270781585 6.7073165856 7.3192224318 11.4421967399 11.7861941840 16.9142683147
3.3324183458 6.1815752394 6.5602968287 7.1770063940 11.2340203096 11.5726223185 17.0005656661
3.3521072657 6.0356503789 6.4122189327 7.0334828255 11.0213987484 11.3549469095 17.0853381527
3.3717961855 5.8893194897 6.2631110596 6.8886962997 10.8044120993 11.1332427389 17.1685464245
3.3914851053 5.7425981515 6.1130013717 6.7426926660 10.5831427053 10.9075880953 17.2501519526
3.4111740252 5.5955016099 5.9619181037 6.5955191108 10.3576751706 10.6780648473 17.3301170398
3.4308629450 5.4480447757 5.8098896297 6.4472242344 10.1280963220 10.4447585426 17.4084048318
3.4505518648 5.3002422248 5.6569445256 6.2978581441 9.8944951718 10.2077585403 17.4849793280
3.4702407847 5.1521081986 5.5031116279 6.1474725627 9.6569628817 9.9671581833 17.5598053917
3.4899297045 5.0036566051 5.3484200887 5.9961209530 9.4155927291 9.7230550198 17.6328487603
3.5096186243 4.8549010209 5.1928994292 5.8438586567 9.1704800742 9.4755510871 17.7040760549
3.5293075442 4.7058546930 5.0365795899 5.6907430461 8.9217223300 9.2247532721 17.7734547901
3.5489964640 4.5565305417 4.8794909785 5.5368336855 8.6694189351 8.9707737702 17.8409533829
3.5686853838 4.4069411644 4.7216645157 5.3821924972 8.4136713289 8.7137306684 17.9065411619
3.5883743036 4.2570988391 4.5631316774 5.2268839214 8.1545829314 8.4537486890 17.9701883760
3.6080632235 4.1070155292 4.4039245320 5.0709750565 7.8922591273 8.1909601412 18.0318662028
3.6277521433 3.9567028885 4.2440757735 4.9145357543 7.6268072556 7.9255061454 18.0915467566
3.6474410631 3.8061722669 4.0836187445 4.7576386337 7.3583366069 7.6575382178 18.1492030963
3.6671299830 3.6554347165 3.9225874505 4.6003589528 7.0869584291 7.3872203364 18.2048092332
3.6868189028 3.5045009984 3.7610165569 4.4427742474 6.8127859449 7.1147316586 18.2583401384
3.7065078226 3.3533815898 3.5989413676 4.2849635963 6.5359343849 6.8402701281 18.3097717493
3.7261967425 3.2020866919 3.4363977738 4.1270062888 6.2565210416 6.5640573139 18.3590809770
3.7458856623 3.0506262377 3.2734221673 3.9689795558 5.9746653528 6.2863449733 18.4062457125
3.7655745821 2.8990099011 3.1100513028 3.8109548266 5.6904890279 6.0074240629 18.4512448330
3.7852635020 2.7472471062 2.9463220966 3.6529916797 5.4041162378 5.7276372620 18.4940582080
3.8049524218 2.5953470361 2.7822713393 3.4951281838 5.1156739035 5.4473965991 18.5346667047
3.8246413416 2.4433186437 2.6179352994 3.3373656055 4.8252921428 5.1672085540 18.5730521936
3.8443302615 2.2911706617 2.4533491884 3.1796443743 4.5331049774 4.8877101601 18.6091975535
3.8640191813 2.1389116137 2.2885464525 3.0218066649 4.2392514901 4.6097212276 18.6430866767
3.8837081011 1.9865498252 2.1235578557 2.8635391034 3.9438777879 4.3343196912 18.6747044728
3.9033970210 1.8340934352 1.9584103257 2.7042877973 3.6471404805 4.0629483328 18.7040368739
3.9230859408 1.6815504079 1.7931255611 2.5431401831 3.3492131765 3.7975584945 18.7310708377
3.9427748606 1.5289285453 1.6277184800 2.3786820684 3.0502994163 3.5407813896 18.7557943521
3.9624637805 1.3762354995 1.4621958039 2.2088784884 2.7506605763 3.2960737613 18.7781964376
3.9821527003 1.2234787851 1.2965556263 2.0311003939 2.4506826632 3.0676989969 18.7982671512
4.0018416201 1.0706657930 1.1307902668 1.8424498091 2.1510594575 2.8603275450 18.8159975890
4.0215305399 0.9178038026 0.9648985889 1.6402059890 1.8533895208 2.6781665069 18.8313798884
4.0412194598 0.7648999963 0.7989244567 1.4208080717 1.5624584801 2.5239997843 18.8444072310
4.0609083796 0.6119614723 0.6330660161 1.1745980365 1.2924326865 2.3988537093 18.8550738438
4.0805972994 0.4589952586 0.4679666583 0.8961027702 1.0573878493 2.3025036019 18.8633750012
4.1002862193 0.3053718062 0.3060083270 0.6014468930 0.8561847721 2.2342728537 18.8693070266
4.1199751391 0.1487610620 0.1530076070 0.3015435170 0.7054055498 2.1935640870 18.8728672928
4.1396640589 -0.0000001918 0.0000001003 0.0000001633 0.6458973476 2.1800303768 18.8740542234
